"id","_time","longitude","latitude"
1,2008-02-02 15:36:08,116.51172,39.92123
1,2008-02-02 15:46:08,116.51135,39.93883
1,2008-02-02 15:46:08,116.51135,39.93883
1,2008-02-02 15:56:08,116.51627,39.91034
1,2008-02-02 16:06:08,116.47186,39.91248
1,2008-02-02 16:16:08,116.47217,39.92498
1,2008-02-02 16:26:08,116.47179,39.90718
1,2008-02-02 16:36:08,116.45617,39.90531
1,2008-02-02 17:00:24,116.47191,39.90577
1,2008-02-02 17:10:24,116.50661,39.9145
1,2008-02-02 20:30:34,116.49625,39.9146
1,2008-02-02 20:40:33,116.50962,39.91071
1,2008-02-02 20:50:33,116.52231,39.91588
1,2008-02-02 20:50:33,116.52231,39.91588
1,2008-02-02 21:00:33,116.56444,39.91445
1,2008-02-02 21:10:33,116.59512,39.90798
1,2008-02-02 21:30:33,116.65522,39.8622
1,2008-02-02 21:40:33,116.69164,39.85165
1,2008-02-02 21:50:33,116.69167,39.85166
1,2008-02-02 22:10:32,116.69168,39.85168
1,2008-02-02 22:20:32,116.69168,39.85167
1,2008-02-02 22:30:32,116.69167,39.85169
1,2008-02-02 22:40:33,116.69167,39.85172
1,2008-02-02 22:50:33,116.69167,39.85174
1,2008-02-02 23:00:32,116.69167,39.85175
1,2008-02-02 23:10:32,116.69167,39.85176
1,2008-02-02 23:20:32,116.69172,39.85208
1,2008-02-02 23:20:32,116.69172,39.85208
1,2008-02-02 23:30:32,116.69172,39.85199
1,2008-02-02 23:40:32,116.69171,39.85196
1,2008-02-02 23:50:32,116.69171,39.85182
1,2008-02-03 00:00:32,116.69171,39.85184
1,2008-02-03 00:10:32,116.6917,39.85184
1,2008-02-03 00:20:32,116.6917,39.85184
1,2008-02-03 00:30:32,116.69168,39.85146
1,2008-02-03 00:40:32,116.69172,39.85165
1,2008-02-03 00:50:32,116.69176,39.85165
1,2008-02-03 01:00:32,116.69168,39.85163
1,2008-02-03 01:10:32,116.69166,39.85159
1,2008-02-03 01:40:31,116.69164,39.85186
1,2008-02-03 01:50:31,116.69167,39.85196
1,2008-02-03 02:00:32,116.69167,39.85167
1,2008-02-03 02:21:26,116.69176,39.85183
1,2008-02-03 02:30:31,116.69173,39.85174
1,2008-02-03 02:50:32,116.69172,39.85179
1,2008-02-03 03:00:32,116.69171,39.85176
1,2008-02-03 03:10:31,116.6917,39.85176
1,2008-02-03 03:20:31,116.69164,39.85165
1,2008-02-03 03:30:31,116.69155,39.85181
1,2008-02-03 03:40:31,116.69158,39.8518
